Start Time: 09-01-2023 09:47:21
End Time: 09-01-2023 12:33:51
Data Number: 3755
T1 (°C) Max: 110.3 09-01-2023 11:34:53	 Min: 17.9 09-01-2023 09:48:09	 Avg: 44.33
T2 (°C) Max: 60.7 09-01-2023 12:24:11	 Min: 21.3 09-01-2023 09:47:23	 Avg: 42.51
T3 (°C) Max: 37.9 09-01-2023 12:24:11	 Min: 21.1 09-01-2023 09:47:31	 Avg: 29.94
T4 (°C) Max: 0 	 Min: 0 	 Avg: 0.00
""
Record Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C)
"09-01-2023 10:09:31","34.8","36.1","27.3",""
"09-01-2023 10:09:33","34.8","36","27.3",""
"09-01-2023 10:09:35","34.6","35.9","27.2",""
"09-01-2023 10:09:37","34.6","35.9","27.2",""
"09-01-2023 10:09:39","34.6","36","27.2",""
"09-01-2023 10:09:41","34.8","35.9","27.2",""
"09-01-2023 10:09:43","34.8","35.7","27.1",""
"09-01-2023 10:09:45","34.8","35.8","27.1",""
"09-01-2023 10:09:47","34.8","35.9","27.2",""
"09-01-2023 10:09:49","34.7","35.7","27.1",""
"09-01-2023 10:09:51","34.7","35.6","27.1",""
"09-01-2023 10:09:53","34.7","35.7","27.1",""
"09-01-2023 10:09:55","34.7","35.7","27.2",""
"09-01-2023 10:09:57","34.7","35.7","27.2",""
"09-01-2023 10:09:59","34.6","35.7","27.2",""
"09-01-2023 10:10:01","34.6","35.7","27.2",""
"09-01-2023 10:10:03","34.6","35.7","27.3",""
"09-01-2023 10:10:05","34.5","35.7","27.2",""
"09-01-2023 10:10:07","34.5","35.5","27.2",""
"09-01-2023 10:10:09","34.5","35.4","27",""
"09-01-2023 10:10:11","34.3","35.6","27",""
"09-01-2023 10:10:13","34.3","35.5","27",""
"09-01-2023 10:10:15","34.3","35.5","27",""
"09-01-2023 10:10:17","34.3","35","26.5",""
"09-01-2023 10:10:19","34.2","35.1","26.8",""
"09-01-2023 10:10:21","34.4","35.1","26.8",""
"09-01-2023 10:10:23","34.4","35.2","26.8",""
"09-01-2023 10:10:25","34.3","35.2","26.8",""
"09-01-2023 10:10:27","34.3","35.2","26.9",""
"09-01-2023 10:10:29","34.3","35.3","26.9",""
"09-01-2023 10:10:31","34.3","35.3","27",""
"09-01-2023 10:10:33","34.3","35.3","27",""
"09-01-2023 10:10:35","34.3","35.3","27",""
"09-01-2023 10:10:37","34.2","35.3","27",""
"09-01-2023 10:10:39","34.2","35.1","27",""
"09-01-2023 10:10:41","34.2","35.1","27",""
"09-01-2023 10:10:43","34.2","35.1","27",""
"09-01-2023 10:10:45","34.1","35.1","27",""
"09-01-2023 10:10:47","34.0","35.1","27",""
"09-01-2023 10:10:49","34.0","35.1","26.9",""
"09-01-2023 10:10:51","34.0","34.9","26.9",""
"09-01-2023 10:10:53","34.0","34.9","26.9",""
"09-01-2023 10:10:55","34.0","34.9","26.9",""
"09-01-2023 10:10:57","34.0","34.9","26.9",""
"09-01-2023 10:10:59","33.8","34.9","26.9",""
"09-01-2023 10:11:01","33.8","35","26.9",""
"09-01-2023 10:11:03","33.8","35","26.9",""
"09-01-2023 10:11:05","33.8","35","26.9",""
"09-01-2023 10:11:07","33.8","34.9","26.9",""
"09-01-2023 10:11:09","33.8","34.9","26.9",""
"09-01-2023 10:11:11","33.8","34.9","26.9",""
"09-01-2023 10:11:13","33.7","34.8","26.8",""
"09-01-2023 10:11:15","33.8","34.8","26.8",""
"09-01-2023 10:11:17","33.6","34.8","26.9",""
"09-01-2023 10:11:19","33.6","34.8","27",""
"09-01-2023 10:11:21","33.6","34.8","26.9",""
"09-01-2023 10:11:23","33.7","35","27",""
"09-01-2023 10:11:25","33.7","34.9","26.9",""
"09-01-2023 10:11:27","33.8","34.7","26.9",""
"09-01-2023 10:11:29","33.6","34.7","26.9",""
"09-01-2023 10:11:31","33.6","34.7","26.9",""
"09-01-2023 10:11:33","33.6","34.7","26.9",""
"09-01-2023 10:11:35","33.6","34.7","26.9",""
"09-01-2023 10:11:37","33.6","34.7","26.9",""
"09-01-2023 10:11:39","33.5","34.7","26.9",""
"09-01-2023 10:11:41","33.5","34.6","26.7",""
"09-01-2023 10:11:43","33.3","34.6","26.7",""
"09-01-2023 10:11:45","33.4","34.6","26.7",""
